Variable, Description
rev, Mean monthly revenue (charge amount)
mou, Mean number of monthly minutes of use
totmrc, Mean total monthly recurring charge
da, Mean number of directory assisted calls
ovrmou, Mean overage minutes of use
ovrrev, Mean overage revenue
vceovr, Mean revenue of voice overage
datovr, Mean revenue of data overage
roam, Mean number of roaming calls
change_mou, Percentage change in monthly minutes of use vs previous three month average
change_rev, Percentage change in monthly revenue vs previous three month average
drop_vce, Mean number of dropped (failed) voice calls
drop_dat, Mean number of dropped (failed) data calls
blck_vce, Mean number of blocked (failed) voice calls
blck_dat, Mean number of blocked (failed) data calls
unan_vce, Mean number of unanswered voice calls
unan_dat, Mean number of unanswered data calls
plcd_vce, Mean number of attempted voice calls placed
plcd_dat, Mean number of attempted data calls placed
recv_vce, Mean number of received voice calls
recv_sms, Mean number of received sms
comp_vce, Mean number of completed voice calls
comp_dat, Mean number of completed data calls
custcare, Mean number of customer care calls
ccrndmou, Mean rounded minutes of use of customer care calls
cc_mou, Mean unrounded minutes of use of customer care (see CUSTCARE_MEAN) calls
inonemin, Mean number of inbound calls less than one minute
threeway, Mean number of three way calls
mou_cvce, Mean unrounded minutes of use of completed voice calls
mou_cdat, Mean unrounded minutes of use of completed data calls
mou_rvce, Mean unrounded minutes of use of received voice calls
owylis_vce, Mean number of outbound wireless to wireless voice calls
mouowylisv, Mean unrounded minutes of use of outbound wireless to wireless voice calls
iwylis_vce, Mean number of inbound wireless to wireless voice calls
mouiwylisv, Mean unrounded minutes of use of inbound wireless to wireless voice calls
peak_vce, Mean number of inbound and outbound peak voice calls
peak_dat, Mean number of peak data calls
mou_peav, Mean unrounded minutes of use of peak voice calls
mou_pead, Mean unrounded minutes of use of peak data calls
opk_vce, Mean number of off-peak voice calls
opk_dat, Mean number of off-peak data calls
mou_opkv, Mean unrounded minutes of use of off-peak voice calls
mou_opkd, Mean unrounded minutes of use of off-peak data calls
drop_blk, Mean number of dropped or blocked calls
attempt, Mean number of attempted calls
complete, Mean number of completed calls
callfwdv, Mean number of call forwarding calls
callwait, Mean number of call waiting calls
churn, Instance of churn between 31-60 days after observation date
months, Total number of months in service
uniqsubs, Number of unique subscribers in the household
actvsubs, Number of active subscribers in household
new_cell, New cell phone user
crclscod, Credit class code
asl_flag, Account spending limit
totcalls, Total number of calls over the life of the customer
totmou, Total minutes of use over the life of the cus
totrev, Total revenue
adjrev, Billing adjusted total revenue over the life of the customer
adjmou, Billing adjusted total minutes of use over the life of the customer
adjqty, Billing adjusted total number of calls over the life of the customer
avgrev, Average monthly revenue over the life of the customer
avgmou, Average monthly minutes of use over the life of the customer
avgqty, Average monthly number of calls over the life of the customer
avg3mou, Average monthly minutes of use over the previous three months
avg3qty, Average monthly number of calls over the previous three months
avg3rev, Average monthly revenue over the previous three months
avg6mou, Average monthly minutes of use over the previous six months
avg6qty, Average monthly number of calls over the previous six months
avg6rev, Average monthly revenue over the previous six months
prizm_social_one, Social group letter only
area, Geogrpahic area
dualband, Dualband
refurb_new, Handset: refurbished or new
hnd_price, Current handset price
phones, Number of handsets issued
models, Number of models issued
hnd_webcap, Handset web capability
truck, Truck indicator
rv, RV indicator
ownrent, Home owner/renter status
lor, Length of residence
dwlltype, Dwelling Unit type
marital, Marital Status
adults, Number of adults in household
infobase, InfoBase match
income, Estimated income
numbcars, Known number of vehicles
HHstatin, Premier household status indicator
dwllsize, Dwelling size
forgntvl, Foreign travel dummy variable
ethnic, Ethnicity roll-up code
kid0_2, Child 0 - 2 years of age in household
kid3_5, Child 3 - 5 years of age in household
kid6_10, Child 6 - 10 years of age in household
kid11_15, Child 11 - 15 years of age in household
kid16_17, Child 16 - 17 years of age in household
creditcd, Credit card indicator
eqpdays, Number of days (age) of current equipment
Customer_ID, Customer ID (Primary key)
